Date,Sulfur Dioxide AQI Value,Main Pollutant,Site Name,Site ID,Source,,,,,,,,
11/07/1993,114,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
11/08/1993,65,,CAMDEN LAB,34-007-0003,AQS,,,,,,,,
11/09/1993,112,,,42-101-0029,AQS,,,,,,,,
11/10/1993,94,,,42-101-0022,AQS,,,,,,,,
11/11/1993,116,,,42-101-0029,AQS,,,,,,,,
11/12/1993,97,,,10-003-2002,AQS,,,,,,,,
11/13/1993,96,,A420450109LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0109,AQS,,,,,,,,
11/14/1993,148,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
11/15/1993,81,,,42-101-0022,AQS,,,,,,,,
11/16/1993,44,,,10-003-2002,AQS,,,,,,,,
11/17/1993,103,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
11/18/1993,43,,A420170012LAT/LONG POINT IS OF SAMPLING INLET,42-017-0012,AQS,,,,,,,,
11/19/1993,94,,,42-101-0022,AQS,,,,,,,,
11/20/1993,119,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
11/21/1993,103,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
11/22/1993,112,,COMMUNITY HEALTH SERVICES (CHS),42-101-0047,AQS,,,,,,,,
11/23/1993,81,,,42-101-0022,AQS,,,,,,,,
11/24/1993,153,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
11/25/1993,54,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
11/26/1993,62,,,10-003-2002,AQS,,,,,,,,
11/27/1993,101,,A420450109LAT/LON POINT IS OF CORNER OF TRAILER,42-045-0109,AQS,,,,,,,,
11/28/1993,107,,,42-101-0022,AQS,,,,,,,,
11/29/1993,107,,,42-101-0022,AQS,,,,,,,,
11/30/1993,56,,,42-101-0022,AQS,,,,,,,,
12/01/1993,81,,A420170012LAT/LONG POINT IS OF SAMPLING INLET,42-017-0012,AQS,,,,,,,,
12/02/1993,71,,,10-003-2002,AQS,,,,,,,,
12/03/1993,56,,,42-101-0022,AQS,,,,,,,,
12/04/1993,47,,,10-003-2002,AQS,,,,,,,,
12/05/1993,29,,,42-101-0022,AQS,,,,,,,,
12/06/1993,107,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
12/07/1993,136,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
12/08/1993,101,,,10-003-2002,AQS,,,,,,,,
12/09/1993,107,,North East Waste (NEW),42-101-0048,AQS,,,,,,,,
12/10/1993,82,,Bellefonte River Road Park,10-003-1003,AQS,,,,,,,,
12/11/1993,106,,Route 9 Delaware City,10-003-1008,AQS,,,,,,,,
12/12/1993,31,,CAMDEN LAB,34-007-0003,AQS,,,,,,,,
12/13/1993,43,,CAMDEN LAB,34-007-0003,AQS,,,,,,,,
12/14/1993,103,,,42-101-0022,AQS,,,,,,,,
